F,NT,fit_time,predict_time,fit_accuracy,predict_accuracy,buying,maint,doors,persons,lug_boot,safety
1,1,0.044,0.042,0.701,0.698,0,0,0,0,0,2
1,10,0.064,0.054,0.701,0.698,3,0,3,4,6,6
1,25,0.073,0.07,0.701,0.698,9,12,9,6,10,14
1,50,0.1,0.138,0.701,0.698,15,18,27,20,16,24
1,75,0.128,0.181,0.701,0.698,33,36,39,20,28,30
1,100,0.166,0.149,0.701,0.698,51,51,57,26,30,38
3,1,0.387,0.042,0.714,0.662,0,35,8,0,0,4
3,10,0.468,0.073,0.767,0.748,53,68,71,52,69,67
3,25,0.634,0.152,0.735,0.717,135,165,194,173,159,151
3,50,1.233,0.506,0.729,0.71,334,395,492,259,250,357
3,75,1.762,0.955,0.714,0.7,616,603,761,422,359,452
3,100,2.321,0.985,0.709,0.698,844,903,917,501,552,565
4,1,1.161,0.054,0.826,0.775,0,56,9,74,0,4
4,10,1.788,0.116,0.914,0.829,274,385,279,276,111,93
4,25,2.578,0.494,0.935,0.854,857,705,575,586,462,366
4,50,4.393,1.699,0.917,0.813,1505,1399,1284,1024,1128,1014
4,75,6.217,3.544,0.922,0.813,2042,1910,1884,1967,1615,1643
4,100,8.551,3.831,0.93,0.819,2732,2710,2326,2582,2166,2216
random,1,11.431,0.071,1.0,0.838,401,78,10,147,567,4
random,10,11.658,0.309,1.0,0.887,1547,572,908,394,639,341
random,25,12.751,1.598,1.0,0.871,2615,928,2526,2046,1030,1367
random,50,15.524,5.47,1.0,0.856,4282,2244,3419,4895,2752,2701
random,75,22.307,12.421,1.0,0.817,5294,3386,4369,6730,3775,3993
random,100,34.612,11.533,1.0,0.81,6788,5235,5708,8016,5284,5776
