F,NT,fit_time,predict_time,fit_accuracy,predict_accuracy,buying,maint,doors,persons,lug_boot,safety
1,1,0.357,0.047,0.718,0.71,10,18,11,15,10,12
1,10,0.612,0.087,0.723,0.712,130,130,106,139,92,107
1,25,0.693,0.244,0.706,0.702,292,271,249,277,220,237
1,50,1.221,0.594,0.711,0.7,564,551,525,494,426,488
1,75,1.701,1.498,0.708,0.702,831,846,807,727,654,723
1,100,2.342,1.381,0.716,0.7,1101,1109,1079,967,899,986
2,1,1.424,0.054,0.776,0.723,52,51,64,2,45,45
2,10,2.158,0.21,0.95,0.844,601,519,501,431,407,464
2,25,3.829,0.901,0.971,0.844,1454,1146,1269,1037,1065,1187
2,50,6.119,3.88,0.988,0.829,2790,2458,2581,2027,2000,2161
2,75,8.699,8.701,0.988,0.837,4074,3820,3837,3085,3020,3205
2,100,11.838,9.678,0.988,0.848,5468,4980,5111,4130,3987,4253
3,1,3.054,0.057,0.819,0.675,46,114,71,106,42,90
3,10,3.794,0.299,0.985,0.819,863,950,787,900,569,811
3,25,7.765,1.656,0.998,0.858,2351,2153,1979,2152,1698,1979
3,50,13.191,7.71,1.0,0.883,4637,4600,4318,3946,3594,3711
3,75,18.113,17.485,1.0,0.888,7059,7153,6496,5506,5371,5547
3,100,26.213,16.234,1.0,0.888,9524,9360,8830,7221,7101,7482
