F,NT,fit_time,predict_time,fit_accuracy,predict_accuracy,sepal_length,sepal_width,petal_length,petal_width
1,1,0.324,0.041,0.962,0.911,0,0,38,0
1,10,0.348,0.049,0.99,0.889,96,21,152,36
1,25,0.58,0.137,0.981,0.867,256,84,266,108
1,50,0.898,0.298,0.981,0.867,448,210,532,216
1,75,1.3,0.611,0.981,0.889,736,294,912,252
1,100,1.73,0.529,0.981,0.867,960,462,1140,324
2,1,0.759,0.032,0.99,0.911,0,0,43,34
2,10,1.043,0.064,1.0,0.889,104,281,224,204
2,25,1.773,0.181,1.0,0.911,374,593,566,500
2,50,3.011,0.775,1.0,0.933,949,989,1284,892
2,75,4.395,1.719,1.0,0.911,1549,1514,1815,1320
2,100,6.528,1.626,1.0,0.911,2173,2084,2342,1692
3,1,1.31,0.031,1.0,0.933,0,23,43,35
3,10,1.497,0.078,1.0,0.911,193,343,232,224
3,25,3.271,0.357,1.0,0.911,604,687,641,548
3,50,5.266,0.999,1.0,0.889,1283,1191,1459,1039
3,75,7.547,2.154,1.0,0.933,1978,1817,2095,1566
3,100,10.764,2.198,1.0,0.889,2708,2485,2695,2047
random,1,1.745,0.041,1.0,0.933,0,23,43,35
random,10,2.041,0.071,1.0,0.933,139,325,235,168
random,25,2.65,0.233,1.0,0.933,467,643,569,436
random,50,4.784,0.903,1.0,0.911,960,1048,1301,790
random,75,6.84,1.657,1.0,0.911,1529,1496,1878,1164
random,100,9.773,1.723,1.0,0.889,2135,2073,2391,1617
