F,NT,fit_time,predict_time,fit_accuracy,predict_accuracy,sepal_length,sepal_width,petal_length,petal_width
1,1,0.342,0.033,0.962,0.756,14,13,13,12
1,10,0.625,0.061,1.0,0.911,145,112,153,118
1,25,0.887,0.154,1.0,0.956,352,317,350,310
1,50,1.345,0.505,1.0,0.933,724,652,677,604
1,75,1.887,1.257,1.0,0.933,1051,1003,1023,924
1,100,2.823,1.106,1.0,0.911,1403,1364,1344,1234
2,1,0.633,0.035,0.971,0.911,17,17,17,13
2,10,0.815,0.061,1.0,0.933,154,149,158,149
2,25,1.6,0.166,1.0,0.911,401,396,398,361
2,50,2.641,0.635,1.0,0.889,818,779,812,712
2,75,3.588,1.391,1.0,0.911,1220,1174,1247,1060
2,100,5.185,1.169,1.0,0.911,1650,1578,1646,1388
3,1,0.856,0.037,1.0,0.911,20,12,18,14
3,10,1.281,0.063,0.99,0.956,175,154,161,135
3,25,2.365,0.244,1.0,0.956,421,416,416,335
3,50,3.789,0.586,1.0,0.956,867,814,841,673
3,75,5.149,1.395,1.0,0.911,1306,1222,1277,1012
3,100,7.547,1.306,1.0,0.911,1719,1627,1713,1347
