F,NT,fit_time,predict_time,fit_accuracy,predict_accuracy,bkblk,bknwy,bkon8,bkona,bkspr,bkxbq,bkxcr,bkxwp,blxwp,bxqsq,cntxt,dsopp,dwipd,hdchk,katri,mulch,qxmsq,r2ar8,reskd,reskr,rimmx,rkxwp,rxmsq,simpl,skach,skewr,skrxp,spcop,stlmt,thrsk,wkcti,wkna8,wknck,wkovl,wkpos,wtoeg
1,1,0.152,0.066,0.714,0.702,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,2,1,1,1,1,0
1,10,0.266,0.133,0.802,0.828,6,6,3,8,13,8,11,4,9,9,10,4,12,2,5,8,5,9,2,6,6,5,2,11,6,8,6,0,5,5,11,5,11,6,7,8
1,25,0.409,0.236,0.859,0.86,17,17,11,14,25,23,24,14,22,27,21,15,22,4,18,20,14,23,7,23,17,13,9,28,9,17,18,0,12,19,24,17,24,20,18,15
1,50,0.663,0.503,0.873,0.885,37,39,24,38,55,50,44,32,47,54,47,38,42,10,46,37,24,49,17,46,45,30,23,57,19,31,39,2,17,33,47,30,56,50,51,30
1,75,0.857,1.2,0.896,0.908,61,62,42,58,75,74,64,51,78,82,69,64,69,17,85,57,33,70,25,69,67,53,40,87,23,50,60,4,32,52,74,47,79,79,72,53
1,100,1.044,1.199,0.903,0.911,79,84,54,82,95,107,92,74,103,109,98,91,93,27,109,77,45,99,34,94,88,72,62,122,34,66,78,7,43,66,102,64,107,96,101,78
3,1,0.885,0.085,0.703,0.692,2,1,2,5,10,9,6,2,2,6,5,2,7,0,4,3,1,7,1,7,5,3,4,7,1,6,5,0,0,0,2,3,3,5,3,4
3,10,1.619,0.234,0.946,0.929,41,36,27,71,95,64,62,52,57,80,70,55,92,6,80,41,17,99,12,74,62,55,38,114,8,50,37,1,14,30,48,27,82,85,62,55
3,25,2.736,1.161,0.979,0.959,120,108,81,192,244,216,167,141,150,214,170,136,200,15,226,112,66,224,26,179,180,162,91,288,27,157,101,2,32,87,148,90,209,227,184,125
3,50,4.872,4.792,0.98,0.965,255,212,167,364,484,453,388,282,320,414,348,278,412,34,464,240,133,470,56,341,381,308,183,578,49,307,202,7,67,174,302,172,455,461,391,277
3,75,7.132,12.583,0.982,0.962,408,342,253,527,714,728,604,434,508,635,513,434,601,54,687,352,197,707,77,501,562,501,274,837,76,479,300,11,97,269,449,257,682,699,582,438
3,100,10.269,10.62,0.983,0.967,548,456,331,678,913,955,800,584,693,836,719,569,801,72,916,475,264,916,106,669,750,687,361,1098,103,638,400,16,133,349,609,342,922,909,783,589
5,1,3.152,0.085,0.819,0.775,10,9,9,11,21,20,16,9,10,23,1,8,24,1,6,5,7,18,3,14,9,17,6,28,1,15,7,0,0,2,15,1,21,22,12,1
5,10,4.722,0.445,0.968,0.935,108,89,55,140,182,186,177,120,157,201,145,111,209,11,185,81,52,193,14,135,130,145,69,248,13,176,81,4,22,61,137,47,228,173,171,137
5,25,8.65,2.491,0.989,0.96,247,199,142,325,493,552,411,269,370,443,326,281,491,25,459,190,114,445,43,338,318,363,163,647,38,404,214,9,44,165,309,119,628,431,364,371
5,50,14.257,12.11,0.992,0.966,495,422,299,668,944,1157,880,568,715,922,679,540,999,45,897,398,228,893,87,684,668,690,300,1300,73,791,428,16,92,327,577,248,1243,897,761,718
5,75,20.012,28.081,0.994,0.974,755,626,434,975,1415,1710,1333,814,1014,1393,978,785,1443,66,1342,609,342,1384,126,978,1046,963,482,1930,115,1173,610,25,139,493,836,371,1716,1402,1154,1062
5,100,28.293,24.511,0.996,0.972,1042,842,585,1313,1906,2362,1819,1104,1371,1850,1312,1048,1924,88,1819,812,440,1781,177,1304,1416,1298,656,2517,158,1529,806,32,189,665,1136,489,2259,1834,1515,1472
6,1,4.075,0.089,0.83,0.793,10,11,7,14,28,29,25,10,20,17,18,8,30,1,6,14,4,27,1,15,19,12,1,28,1,22,7,0,3,3,15,8,24,14,13,3
6,10,5.678,0.539,0.987,0.957,114,90,77,185,244,257,214,113,163,226,135,165,289,14,212,112,49,233,23,169,161,134,58,382,13,209,90,3,21,74,162,47,272,218,193,173
6,25,11.819,3.934,0.994,0.967,277,230,179,458,607,692,562,328,419,555,391,386,617,31,590,246,135,599,50,361,465,345,145,873,38,528,270,7,53,198,346,138,690,555,505,418
6,50,19.211,15.335,0.994,0.972,595,457,346,861,1229,1324,1063,660,836,1105,813,751,1226,58,1161,507,270,1136,98,773,943,709,294,1700,80,1039,506,15,104,377,611,307,1426,1101,994,822
6,75,26.263,32.459,0.996,0.974,886,690,501,1278,1802,2093,1579,1001,1248,1599,1242,1153,1804,94,1711,747,396,1714,148,1149,1406,1064,506,2529,128,1533,714,22,150,596,953,470,2061,1677,1515,1224
6,100,38.299,34.989,0.996,0.98,1209,910,668,1651,2449,2786,2043,1334,1694,2130,1652,1452,2427,128,2277,1003,530,2294,206,1516,1934,1468,682,3308,165,1991,942,31,208,777,1334,603,2784,2269,1986,1661
